Driver,Year,Round,EventName,Team,Qualifying_Pace,BestQualifyingTime,FieldMedian,QualifyingPosition,GridPosition,Race_Pace,TotalCleanLaps,NumStints,QP_Score,RP_Score,Overall_Pace_Score
PER,2018,1,Australian Grand Prix,Force India,0.4405000000000001,84.005,83.5645,13.0,12.0,87.97118845228549,43.0,2.0,3.810457516339883,4.213884689006842,4.012171102673363
STR,2018,1,Australian Grand Prix,Williams,0.6655000000000086,84.23,83.5645,14.0,13.0,88.90246752205292,43.0,2.0,3.320261437908492,1.0,2.160130718954246
OCO,2018,1,Australian Grand Prix,Force India,0.9385000000000048,84.503,83.5645,15.0,14.0,88.199543313709,41.0,2.0,2.725490196078435,3.4258221021685222,3.0756561491234784
HAR,2018,1,Australian Grand Prix,Toro Rosso,0.9675000000000012,84.532,83.5645,16.0,16.0,88.74582327586207,40.0,2.0,2.6623093681917327,1.5405861258962037,2.1014477470439683
ERI,2018,1,Australian Grand Prix,Sauber,0.991500000000002,84.556,83.5645,17.0,17.0,,,,2.610021786492384,0.1,1.355010893246192
LEC,2018,1,Australian Grand Prix,Sauber,1.0715000000000003,84.636,83.5645,18.0,18.0,88.66375775862069,40.0,3.0,2.4357298474945663,1.823797805316154,2.12976382640536
SIR,2018,1,Australian Grand Prix,Williams,1.3575000000000017,84.922,83.5645,19.0,19.0,,,,1.812636165577352,0.1,0.956318082788676
GAS,2018,1,Australian Grand Prix,Toro Rosso,1.7305000000000064,85.295,83.5645,20.0,20.0,88.2280172413793,6.0,1.0,1.0,3.327557335841995,2.1637786679209974
VET,2018,2,Bahrain Grand Prix,Ferrari,-1.8799999999999957,87.958,89.838,1.0,1.0,93.8398278508772,48.0,2.0,10.0,7.956704055414621,8.97835202770731
RAI,2018,2,Bahrain Grand Prix,Ferrari,-1.7369999999999948,88.101,89.838,2.0,2.0,93.26262550607288,26.0,2.0,9.636953455571224,10.0,9.818476727785612
BOT,2018,2,Bahrain Grand Prix,Mercedes,-1.7139999999999986,88.124,89.838,3.0,3.0,93.772211622807,48.0,2.0,9.578561354019756,8.196065461076959,8.887313407548358
HAM,2018,2,Bahrain Grand Prix,Mercedes,-1.617999999999995,88.22,89.838,4.0,9.0,93.69194307196562,49.0,2.0,9.334837799717912,8.480216081545327,8.90752694063162
RIC,2018,2,Bahrain Grand Prix,Red Bull Racing,-1.4399999999999975,88.398,89.838,5.0,4.0,,,,8.882933709449937,0.1,4.491466854724968
HUL,2018,2,Bahrain Grand Prix,Renault,-0.6509999999999962,89.187,89.838,8.0,7.0,94.76942464114832,44.0,3.0,6.879830747531738,4.665931991235674,5.772881369383706
GAS,2018,2,Bahrain Grand Prix,Toro Rosso,-0.5090000000000003,89.329,89.838,6.0,5.0,94.4075343249428,46.0,3.0,6.519322990126954,5.947023487387142,6.233173238757048
MAG,2018,2,Bahrain Grand Prix,Haas F1 Team,-0.4799999999999897,89.358,89.838,7.0,6.0,94.6555343249428,46.0,3.0,6.445698166431581,5.069103640355011,5.757400903393296
VER,2018,2,Bahrain Grand Prix,Red Bull Racing,-0.4639999999999986,89.374,89.838,15.0,15.0,,,,6.405077574047965,0.1,3.2525387870239824
SAI,2018,2,Bahrain Grand Prix,Renault,-0.0359999999999871,89.802,89.838,10.0,10.0,95.48823625730996,45.0,3.0,5.318476727785595,2.12133931339081,3.7199080205882025
OCO,2018,2,Bahrain Grand Prix,Force India,0.0360000000000013,89.874,89.838,9.0,8.0,95.4271100478469,44.0,3.0,5.135684062059249,2.337726057187012,3.73670505962313
HAR,2018,2,Bahrain Grand Prix,Toro Rosso,0.2670000000000101,90.105,89.838,11.0,11.0,95.15740636474908,43.0,3.0,4.54922425952044,3.292476928998435,3.920850594259438
PER,2018,2,Bahrain Grand Prix,Force India,0.318000000000012,90.156,89.838,12.0,12.0,95.46336374269006,45.0,3.0,4.419746121297585,2.2093879998036927,3.314567060550639
ALO,2018,2,Bahrain Grand Prix,McLaren,0.3740000000000094,90.212,89.838,13.0,13.0,94.69249449204406,43.0,3.0,4.2775740479548565,4.938264671613766,4.6079193597843116
VAN,2018,2,Bahrain Grand Prix,McLaren,0.6410000000000053,90.479,89.838,14.0,14.0,95.17309122807018,45.0,3.0,3.5997179125528924,3.236952522516264,3.4183352175345783
GRO,2018,2,Bahrain Grand Prix,Haas F1 Team,0.6920000000000073,90.53,89.838,16.0,16.0,95.05571578947368,40.0,4.0,3.4702397743300386,3.65246150274999,3.561350638540014
ERI,2018,2,Bahrain Grand Prix,Sauber,1.2250000000000083,91.063,89.838,17.0,17.0,95.65883638443935,46.0,2.0,2.1170662905500643,1.5174149685798994,1.817240629564982
SIR,2018,2,Bahrain Grand Prix,Williams,1.5760000000000076,91.414,89.838,18.0,18.0,95.78938188494492,43.0,3.0,1.225952045133988,1.0552839773114062,1.1406180112226971
LEC,2018,2,Bahrain Grand Prix,Sauber,1.5820000000000078,91.42,89.838,19.0,19.0,95.6089731243001,47.0,2.0,1.2107193229901227,1.6939308787168774,1.4523251008535
STR,2018,2,Bahrain Grand Prix,Williams,1.6650000000000065,91.503,89.838,20.0,20.0,95.80499883040936,45.0,3.0,1.0,1.0,1.0
VET,2018,3,Chinese Grand Prix,Ferrari,-1.8075000000000043,91.095,92.9025,1.0,1.0,97.704625,20.0,2.0,10.0,5.88424003015346,7.94212001507673
RAI,2018,3,Chinese Grand Prix,Ferrari,-1.7205000000000013,91.182,92.9025,2.0,2.0,96.73659523809523,21.0,2.0,9.794972505891588,8.588553522334259,9.191763014112922
BOT,2018,3,Chinese Grand Prix,Mercedes,-1.2775000000000034,91.625,92.9025,3.0,3.0,96.8409761904762,21.0,2.0,8.750981932443047,8.296952138824011,8.523967035633529
HAM,2018,3,Chinese Grand Prix,Mercedes,-1.2275000000000065,91.675,92.9025,4.0,4.0,97.1469761904762,21.0,2.0,8.633150039277304,7.442102462529933,8.037626250903617
VER,2018,3,Chinese Grand Prix,Red Bull Racing,-1.106499999999997,91.796,92.9025,5.0,5.0,96.528325,20.0,2.0,8.347996857816167,9.170382756378071,8.759189807097119
RIC,2018,3,Chinese Grand Prix,Red Bull Racing,-0.95450000000001,91.948,92.9025,6.0,6.0,96.23135714285716,21.0,2.0,7.989787902592316,10.0,8.994893951296158
HUL,2018,3,Chinese Grand Prix,Renault,-0.4085000000000036,92.494,92.9025,7.0,7.0,97.17230952380952,21.0,2.0,6.70306362922231,7.371330593904272,7.037197111563291
GRO,2018,3,Chinese Grand Prix,Haas F1 Team,-0.3785000000000025,92.524,92.9025,10.0,10.0,97.86680555555556,18.0,2.0,6.632364493322857,5.431168149702905,6.031766321512881
PER,2018,3,Chinese Grand Prix,Force India,-0.1445000000000078,92.758,92.9025,8.0,8.0,97.98167142857145,20.0,2.0,6.080911233307159,5.110275815177229,5.595593524242194
SAI,2018,3,Chinese Grand Prix,Renault,-0.0835000000000008,92.819,92.9025,9.0,9.0,97.79635714285716,21.0,2.0,5.937156323644927,5.62797469477045,5.782565509207688
MAG,2018,3,Chinese Grand Prix,Haas F1 Team,0.0835000000000008,92.986,92.9025,11.0,11.0,98.0409761904762,21.0,2.0,5.543597800471318,4.94460046708253,5.244099133776924
OCO,2018,3,Chinese Grand Prix,Force India,0.1544999999999987,93.057,92.9025,12.0,12.0,98.16092857142856,21.0,2.0,5.3762765121759575,4.609498329736614,4.992887420956286
ALO,2018,3,Chinese Grand Prix,McLaren,0.3294999999999959,93.232,92.9025,13.0,13.0,97.57069047619046,21.0,2.0,4.963864886095839,6.258403050817442,5.611133968456641
VAN,2018,3,Chinese Grand Prix,McLaren,0.602499999999992,93.505,92.9025,14.0,14.0,98.24725,20.0,2.0,4.320502749410853,4.368348508587802,4.3444256289993275
HAR,2018,3,Chinese Grand Prix,Toro Rosso,0.8924999999999983,93.795,92.9025,15.0,15.0,99.23393333333334,15.0,2.0,3.637077769049487,1.611923906938233,2.62450083799386
SIR,2018,3,Chinese Grand Prix,Williams,1.1594999999999942,94.062,92.9025,16.0,16.0,98.56294897959184,21.0,2.0,3.007855459544391,3.4864035069196304,3.247129483232011
GAS,2018,3,Chinese Grand Prix,Toro Rosso,1.1984999999999957,94.101,92.9025,17.0,17.0,98.492425,20.0,2.0,2.9159465828751028,3.683421157655145,3.299683870265124
STR,2018,3,Chinese Grand Prix,Williams,1.3824999999999932,94.285,92.9025,18.0,18.0,98.5307,20.0,2.0,2.482325216025148,3.57649510745856,3.029410161741854
LEC,2018,3,Chinese Grand Prix,Sauber,1.55149999999999,94.454,92.9025,19.0,19.0,99.4529761904762,21.0,2.0,2.08405341712492,1.0,1.54202670856246
ERI,2018,3,Chinese Grand Prix,Sauber,2.011499999999998,94.914,92.9025,20.0,20.0,98.4609761904762,21.0,2.0,1.0,3.771277381972957,2.3856386909864784
VET,2018,4,Azerbaijan Grand Prix,Ferrari,-1.8529999999999944,101.498,103.351,1.0,1.0,105.36047731092437,35.0,3.0,10.0,9.305095005728484,9.652547502864241
HAM,2018,4,Azerbaijan Grand Prix,Mercedes,-1.6739999999999924,101.677,103.351,2.0,2.0,105.24974285714283,35.0,3.0,9.898398082744702,9.56347991386903,9.730938998306865
BOT,2018,4,Azerbaijan Grand Prix,Mercedes,-1.5139999999999958,101.837,103.351,3.0,3.0,105.0626660899654,34.0,2.0,9.80758072653885,10.0,9.903790363269426
RIC,2018,4,Azerbaijan Grand Prix,Red Bull Racing,-1.4399999999999975,101.911,103.351,4.0,4.0,105.70093358633775,31.0,2.0,9.765577699293644,8.510683145241725,9.138130422267684
VER,2018,4,Azerbaijan Grand Prix,Red Bull Racing,-1.356999999999999,101.994,103.351,5.0,5.0,105.8308137254902,30.0,1.0,9.71846619576186,8.207624190434437,8.963045193098148
RAI,2018,4,Azerbaijan Grand Prix,Ferrari,-0.8610000000000042,102.49,103.351,6.0,6.0,106.50352287581698,36.0,2.0,9.43693239152372,6.637942071846116,8.037437231684919
OCO,2018,4,Azerbaijan Grand Prix,Force India,-0.828000000000003,102.523,103.351,7.0,7.0,,,,9.418201311806262,0.1,4.759100655903131
PER,2018,4,Azerbaijan Grand Prix,Force India,-0.804000000000002,102.547,103.351,8.0,8.0,106.75655065359476,36.0,2.0,9.404578708375384,6.047533604693605,7.7260561565344945
HUL,2018,4,Azerbaijan Grand Prix,Renault,-0.2849999999999966,103.066,103.351,9.0,14.0,107.47604411764706,4.0,1.0,9.109989909182646,4.368686179449822,6.739338044316234
SAI,2018,4,Azerbaijan Grand Prix,Renault,0.0,103.351,103.351,10.0,9.0,106.61691176470588,34.0,3.0,8.948221493440972,6.3733633735348905,7.660792433487931
STR,2018,4,Azerbaijan Grand Prix,Williams,0.2339999999999946,103.585,103.351,11.0,10.0,107.04130420168067,35.0,3.0,8.815401109989914,5.383097046311862,7.099249078150888
MAG,2018,4,Azerbaijan Grand Prix,Haas F1 Team,0.3230000000000075,103.674,103.351,15.0,15.0,108.56476102941176,32.0,2.0,8.764883955600402,1.8283023185025291,5.296593137051465
LEC,2018,4,Azerbaijan Grand Prix,Sauber,0.4009999999999962,103.752,103.351,14.0,13.0,106.89504844290656,34.0,3.0,8.720610494450055,5.724366448068552,7.222488471259304
SIR,2018,4,Azerbaijan Grand Prix,Williams,0.5349999999999966,103.886,103.351,12.0,11.0,,,,8.644550958627654,0.1,4.372275479313827
ALO,2018,4,Azerbaijan Grand Prix,McLaren,0.659000000000006,104.01,103.351,13.0,12.0,107.58031045751632,36.0,2.0,8.574167507568113,4.125393800887831,6.349780654227972
VAN,2018,4,Azerbaijan Grand Prix,McLaren,1.1380000000000052,104.489,103.351,16.0,16.0,108.46725294117648,30.0,4.0,8.30228304742684,2.0558251676362613,5.179054107531551
GAS,2018,4,Azerbaijan Grand Prix,Toro Rosso,1.144999999999996,104.496,103.351,17.0,17.0,108.91974153297684,33.0,3.0,8.29830978809284,1.0,4.64915489404642
ERI,2018,4,Azerbaijan Grand Prix,Sauber,2.1899999999999977,105.541,103.351,18.0,18.0,108.53069117647058,28.0,3.0,7.705158930373364,1.9078000314721464,4.806479480922755
HAR,2018,4,Azerbaijan Grand Prix,Toro Rosso,14.003,117.354,103.351,19.0,19.0,108.67030550284628,31.0,3.0,1.0,1.582027576163281,1.2910137880816404
GRO,2018,4,Azerbaijan Grand Prix,,,,,,,106.79313547237076,33.0,1.0,0.1,5.962167535543818,3.031083767771909
HAM,2018,5,Spanish Grand Prix,Mercedes,-1.6170000000000044,76.173,77.79,1.0,1.0,79.20883636363637,55.0,2.0,10.0,10.0,10.0
BOT,2018,5,Spanish Grand Prix,Mercedes,-1.5770000000000124,76.213,77.79,2.0,2.0,79.53156363636364,55.0,2.0,9.911154985192516,9.153309704280602,9.53223234473656
VET,2018,5,Spanish Grand Prix,Ferrari,-1.4849999999999994,76.305,77.79,3.0,3.0,79.4532142857143,56.0,3.0,9.70681145113523,9.358862939091276,9.532837195113252
RAI,2018,5,Spanish Grand Prix,Ferrari,-1.1780000000000117,76.612,77.79,4.0,4.0,80.05572222222222,18.0,1.0,9.024925962487677,7.778154811686533,8.401540387087104
VER,2018,5,Spanish Grand Prix,Red Bull Racing,-0.9740000000000038,76.816,77.79,5.0,5.0,79.60505357142857,56.0,2.0,8.571816386969394,8.960505376568562,8.766160881768979
RIC,2018,5,Spanish Grand Prix,Red Bull Racing,-0.9720000000000084,76.818,77.79,6.0,6.0,79.84167272727271,55.0,2.0,8.567374136229029,8.339723806602366,8.453548971415698
MAG,2018,5,Spanish Grand Prix,Haas F1 Team,-0.1720000000000112,77.618,77.79,7.0,7.0,80.81257407407406,54.0,2.0,6.790473840078983,5.792518107218288,6.291495973648635
GRO,2018,5,Spanish Grand Prix,Haas F1 Team,-0.0910000000000081,77.699,77.79,10.0,10.0,,,,6.610562685093783,0.1,3.3552813425468915
ALO,2018,5,Spanish Grand Prix,McLaren,-0.0690000000000026,77.721,77.79,8.0,8.0,81.52303703703704,54.0,2.0,6.561697926949644,3.92858485136005,5.245141389154847
SAI,2018,5,Spanish Grand Prix,Renault,0.0,77.79,77.79,9.0,9.0,81.47546296296295,54.0,2.0,6.408440276406696,4.053397689475558,5.230918982941127
VAN,2018,5,Spanish Grand Prix,McLaren,0.532999999999987,78.323,77.79,11.0,11.0,82.11327272727273,33.0,2.0,5.224580454096753,2.380073543695913,3.8023269988963326
GAS,2018,5,Spanish Grand Prix,Toro Rosso,0.6729999999999876,78.463,77.79,12.0,12.0,,,,4.913622902270491,0.1,2.5068114511352455
LEC,2018,5,Spanish Grand Prix,Sauber,0.8709999999999951,78.661,77.79,14.0,14.0,81.95642307692307,52.0,2.0,4.473840078973337,2.7915760353067185,3.632708057140028
OCO,2018,5,Spanish Grand Prix,Force India,0.9059999999999916,78.696,77.79,13.0,13.0,81.6144827586207,29.0,2.0,4.39610069101678,3.688672666698276,4.042386678857528
PER,2018,5,Spanish Grand Prix,Force India,0.9499999999999886,78.74,77.79,15.0,15.0,81.62790566037735,53.0,3.0,4.298371174728533,3.653457047758754,3.9759141112436436
HUL,2018,5,Spanish Grand Prix,Renault,1.1329999999999956,78.923,77.79,16.0,16.0,,,,3.891905231984194,0.1,1.995952615992097
ERI,2018,5,Spanish Grand Prix,Sauber,1.7029999999999887,79.493,77.79,17.0,17.0,82.26951923076923,52.0,2.0,2.625863770977297,1.9701534364406093,2.2980086037089533
SIR,2018,5,Spanish Grand Prix,Williams,1.904999999999987,79.695,77.79,18.0,19.0,82.63930612244897,49.0,3.0,2.1771964461994124,1.0,1.5885982230997062
STR,2018,5,Spanish Grand Prix,Williams,2.434999999999988,80.225,77.79,19.0,18.0,82.07475471698113,53.0,2.0,1.0,2.481127369264211,1.7405636846321055
HAR,2018,5,Spanish Grand Prix,,,,,,,82.00109615384616,52.0,2.0,0.1,2.674374100710166,1.387187050355083
RIC,2018,6,Monaco Grand Prix,Red Bull Racing,-1.4110000000000014,70.81,72.221,1.0,1.0,76.9218325791855,68.0,2.0,10.0,9.044276227967211,9.522138113983605
VET,2018,6,Monaco Grand Prix,Ferrari,-1.1820000000000022,71.039,72.221,2.0,2.0,76.85855429864253,68.0,2.0,9.202090592334496,9.75301253346005,9.477551562897272
HAM,2018,6,Monaco Grand Prix,Mercedes,-0.9890000000000044,71.232,72.221,3.0,3.0,76.89284065934066,70.0,2.0,8.529616724738684,9.368994693508055,8.949305709123369
RAI,2018,6,Monaco Grand Prix,Ferrari,-0.9549999999999984,71.266,72.221,4.0,4.0,76.90548241758242,70.0,2.0,8.41114982578396,9.227403092814813,8.819276459299386
BOT,2018,6,Monaco Grand Prix,Mercedes,-0.7800000000000011,71.441,72.221,5.0,5.0,76.90241694537347,69.0,2.0,7.801393728222994,9.261737329290838,8.531565528756916
OCO,2018,6,Monaco Grand Prix,Force India,-0.1599999999999966,72.061,72.221,6.0,6.0,76.88472967032968,70.0,2.0,5.641114982578378,9.459840278062712,7.550477630320545
ALO,2018,6,Monaco Grand Prix,McLaren,-0.1110000000000042,72.11,72.221,7.0,7.0,76.83650245499182,47.0,2.0,5.470383275261331,10.0,7.735191637630665
SAI,2018,6,Monaco Grand Prix,Renault,-0.0910000000000081,72.13,72.221,8.0,8.0,77.44526373626374,70.0,2.0,5.400696864111519,3.1816854422468226,4.291191153179171
PER,2018,6,Monaco Grand Prix,Force India,-0.0670000000000072,72.154,72.221,9.0,9.0,77.43620769230769,70.0,2.0,5.317073170731725,3.283115934363831,4.300094552547778
GAS,2018,6,Monaco Grand Prix,Toro Rosso,0.0,72.221,72.221,10.0,10.0,76.88503516483516,70.0,2.0,5.083623693379783,9.456418645153184,7.270021169266483
HUL,2018,6,Monaco Grand Prix,Renault,0.1899999999999977,72.411,72.221,11.0,11.0,76.94713348416289,68.0,2.0,4.421602787456446,8.76089827007344,6.591250528764943
VAN,2018,6,Monaco Grand Prix,McLaren,0.2189999999999941,72.44,72.221,12.0,12.0,77.4044,70.0,3.0,4.320557491289211,3.639371922026115,3.979964706657663
SIR,2018,6,Monaco Grand Prix,Williams,0.2999999999999971,72.521,72.221,13.0,13.0,77.64005170239597,61.0,4.0,4.038327526132406,1.0,2.519163763066203
LEC,2018,6,Monaco Grand Prix,Sauber,0.492999999999995,72.714,72.221,14.0,14.0,77.36097633136094,65.0,2.0,3.365853658536594,4.125730435849592,3.7457920471930928
GRO,2018,6,Monaco Grand Prix,Haas F1 Team,0.5069999999999908,72.728,72.221,15.0,18.0,77.57590093240094,66.0,3.0,3.3170731707317307,1.7185084570987477,2.517790813915239
HAR,2018,6,Monaco Grand Prix,Toro Rosso,0.9579999999999984,73.179,72.221,16.0,15.0,77.36320118343194,65.0,2.0,1.7456445993031315,4.100811404808692,2.923228002055912
ERI,2018,6,Monaco Grand Prix,Sauber,1.043999999999997,73.265,72.221,17.0,16.0,77.42145714285714,70.0,2.0,1.4459930313588858,3.4483266485594406,2.447159839959163
STR,2018,6,Monaco Grand Prix,Williams,1.1019999999999897,73.323,72.221,18.0,17.0,77.31654862119012,53.0,4.0,1.2439024390244162,4.623334525243125,2.9336184821337707
MAG,2018,6,Monaco Grand Prix,Haas F1 Team,1.171999999999997,73.393,72.221,19.0,19.0,77.50270619658119,72.0,2.0,1.0,2.538312127509588,1.769156063754794
VER,2018,6,Monaco Grand Prix,,,,,,,77.07733089133089,63.0,2.0,0.1,7.302647057347667,3.7013235286738335
VET,2018,7,Canadian Grand Prix,Ferrari,-1.6310000000000002,70.764,72.395,1.0,1.0,73.56840178571429,64.0,2.0,10.0,10.0,10.0
BOT,2018,7,Canadian Grand Prix,Mercedes,-1.5379999999999967,70.857,72.395,2.0,2.0,73.64987500000001,64.0,2.0,9.781405066597015,9.712837650959935,9.747121358778475
VER,2018,7,Canadian Grand Prix,Red Bull Racing,-1.4579999999999984,70.937,72.395,3.0,3.0,73.65501116071428,64.0,2.0,9.59336641420736,9.694734621778034,9.644050517992696
HAM,2018,7,Canadian Grand Prix,Mercedes,-1.399000000000001,70.996,72.395,4.0,4.0,73.88162053571429,64.0,2.0,9.454687908069994,8.896022050904207,9.1753549794871
RAI,2018,7,Canadian Grand Prix,Ferrari,-1.2999999999999972,71.095,72.395,5.0,5.0,73.94487723214286,64.0,2.0,9.221990075737786,8.673066056124892,8.947528065931339
RIC,2018,7,Canadian Grand Prix,Red Bull Racing,-1.2789999999999964,71.116,72.395,6.0,6.0,73.84080357142857,64.0,2.0,9.172629929485495,9.039886454042492,9.106258191763994
HUL,2018,7,Canadian Grand Prix,Renault,-0.4789999999999992,71.916,72.395,7.0,7.0,75.03997004608294,62.0,2.0,7.29224340558893,4.813276950897004,6.052760178242966
OCO,2018,7,Canadian Grand Prix,Force India,-0.3109999999999928,72.084,72.395,8.0,8.0,75.11428571428571,62.0,2.0,6.897362235570634,4.5513422520062825,5.724352243788458
SAI,2018,7,Canadian Grand Prix,Renault,-0.2980000000000018,72.097,72.395,9.0,9.0,75.09665898617511,62.0,2.0,6.866805954557336,4.613469819876368,5.740137887216852
PER,2018,7,Canadian Grand Prix,Force India,0.0,72.395,72.395,10.0,10.0,75.01498095238097,60.0,3.0,6.1663619744058575,4.901354080426668,5.533858027416263
HAR,2018,7,Canadian Grand Prix,Toro Rosso,0.1920000000000072,72.587,72.395,12.0,12.0,,,,5.715069208670662,0.1,2.9075346043353307
MAG,2018,7,Canadian Grand Prix,Haas F1 Team,0.2109999999999985,72.606,72.395,11.0,11.0,75.36196082949309,62.0,2.0,5.670410028728139,3.678380892800633,4.674395460764386
LEC,2018,7,Canadian Grand Prix,Sauber,0.2660000000000053,72.661,72.395,13.0,13.0,75.24366820276498,62.0,2.0,5.541133455210233,4.09531778258915,4.8182256188996915
ALO,2018,7,Canadian Grand Prix,McLaren,0.4609999999999985,72.856,72.395,14.0,14.0,74.84678787878788,33.0,2.0,5.08278924001046,5.494171223198012,5.288480231604236
VAN,2018,7,Canadian Grand Prix,McLaren,0.4699999999999988,72.865,72.395,15.0,15.0,75.82989588377723,59.0,2.0,5.061634891616622,2.0290863293729124,3.5453606104947673
GAS,2018,7,Canadian Grand Prix,Toro Rosso,0.652000000000001,73.047,72.395,16.0,16.0,75.2838271889401,62.0,2.0,4.633846957430146,3.953772504104484,4.293809730767315
STR,2018,7,Canadian Grand Prix,Williams,1.1950000000000074,73.59,72.395,17.0,17.0,,,,3.357534604335331,0.1,1.7287673021676655
SIR,2018,7,Canadian Grand Prix,Williams,1.2480000000000049,73.643,72.395,18.0,18.0,75.93182597402597,55.0,2.0,3.2329589971271893,1.6698212088015711,2.45139010296438
ERI,2018,7,Canadian Grand Prix,Sauber,2.1980000000000075,74.593,72.395,19.0,19.0,76.12186651053864,61.0,1.0,1.0,1.0,1.0
GRO,2018,7,Canadian Grand Prix,,,,,,,75.16395784543325,61.0,2.0,0.1,4.376266725807842,2.2381333629039206
HAM,2018,8,French Grand Prix,Mercedes,-2.0360000000000014,90.029,92.065,1.0,1.0,94.49981775300172,44.0,2.0,10.0,10.0,10.0
BOT,2018,8,French Grand Prix,Mercedes,-1.917999999999992,90.147,92.065,2.0,2.0,95.9752000877578,43.0,2.0,9.71297297297295,6.373382118147427,8.043177545560189
VET,2018,8,French Grand Prix,Ferrari,-1.664999999999992,90.4,92.065,3.0,3.0,95.51516454585344,43.0,2.0,9.097567567567545,7.504189423654346,8.300878495610945
VER,2018,8,French Grand Prix,Red Bull Racing,-1.3599999999999994,90.705,92.065,4.0,4.0,94.6189819897084,44.0,2.0,8.355675675675673,9.707083959501754,9.031379817588714
RAI,2018,8,French Grand Prix,Ferrari,-1.2929999999999922,90.772,92.065,6.0,6.0,95.00290866209262,44.0,2.0,8.192702702702682,8.763358863580127,8.478030783141405
RIC,2018,8,French Grand Prix,Red Bull Racing,-1.1700000000000017,90.895,92.065,5.0,5.0,95.09810267661254,43.0,2.0,7.893513513513516,8.529363710479458,8.211438611996487
GRO,2018,8,French Grand Prix,Haas F1 Team,-0.5930000000000035,91.472,92.065,10.0,10.0,96.63848337825696,42.0,2.0,6.490000000000008,4.742974199202159,5.616487099601084
MAG,2018,8,French Grand Prix,Haas F1 Team,-0.5549999999999926,91.51,92.065,9.0,9.0,96.16370732777534,43.0,2.0,6.397567567567549,5.910014954666162,6.153791261116855
SAI,2018,8,French Grand Prix,Renault,-0.0489999999999923,92.016,92.065,7.0,7.0,96.27575515577009,43.0,2.0,5.1667567567567385,5.6345916646783465,5.4006742107175425
LEC,2018,8,French Grand Prix,Sauber,-0.0099999999999909,92.055,92.065,8.0,8.0,96.49427512066696,43.0,2.0,5.071891891891871,5.097450617528759,5.084671254710315
OCO,2018,8,French Grand Prix,Force India,0.0100000000000051,92.075,92.065,11.0,11.0,,,,5.023243243243232,0.1,2.5616216216216157
HUL,2018,8,French Grand Prix,Renault,0.0499999999999971,92.115,92.065,12.0,12.0,96.37873628784556,43.0,2.0,4.925945945945953,5.381455100494042,5.153700523219998
GAS,2018,8,French Grand Prix,Toro Rosso,0.382000000000005,92.447,92.065,14.0,14.0,,,,4.118378378378368,0.1,2.1091891891891836
PER,2018,8,French Grand Prix,Force India,0.3889999999999958,92.454,92.065,13.0,13.0,97.11827615780447,22.0,1.0,4.101351351351363,3.563601888106672,3.8324766197290177
ERI,2018,8,French Grand Prix,Sauber,0.7390000000000043,92.804,92.065,15.0,15.0,97.55761365678347,42.0,2.0,3.249999999999992,2.483672169259229,2.8668360846296106
